Priority Rank,Brand,Slug,URL,Products,Content Words,Content Score,SEO Score,Top Keyword,Best Position,Total Volume,Est Traffic,Traffic Gap,Lost Keywords,Cannibal Keywords,Cannibal Volume,Avg KD,Rank Trend,Schema Present,Meta Description,Has FAQ
1,Micro Skate,micro,https://proskatersplace.com/brand/micro/,13,105,thin,83,micro skates,5,793810,0,794580,7,3104,793810,50,unknown,Y,Y,Y
2,Rio Roller,rio-roller,https://proskatersplace.com/brand/rio-roller/,19,86,very thin,78,,,744360,0,744360,0,2301,744360,50,unknown,Y,Y,Y
3,SEBA Skates,seba,https://proskatersplace.com/brand/seba/,33,95,very thin,78,seba skates,10,495510,0,496760,7,1620,495510,50,unknown,Y,Y,Y
4,Chaya Skates,chaya-skates,https://proskatersplace.com/brand/chaya-skates/,96,106,thin,83,chaya,27,495490,0,517100,13,1620,495490,50,unknown,Y,Y,Y
5,Mesmer Skates,mesmer,https://proskatersplace.com/brand/mesmer/,6,82,very thin,78,,,496260,0,496260,0,1620,496260,50,unknown,Y,Y,Y
6,Riedell Skates,riedell-skates,https://proskatersplace.com/brand/riedell-skates/,8,97,very thin,78,,,496260,0,496260,0,1620,496260,50,unknown,Y,Y,Y
7,SFR Skates,sfr-skates,https://proskatersplace.com/brand/sfr-skates/,6,77,very thin,78,,,496260,0,496260,0,1620,496260,50,unknown,Y,Y,Y
8,FR Skates,fr-skates,https://proskatersplace.com/brand/fr-skates/,87,103,thin,83,frskates,9,496030,0,496310,4,1617,496030,50,unknown,Y,Y,Y
9,NN Skates,nn-skates,https://proskatersplace.com/brand/nn-skates/,20,120,thin,83,top nn 100,34,496260,0,496790,3,1620,496260,50,unknown,Y,Y,Y
10,Moxi Skates,moxi-skates,https://proskatersplace.com/brand/moxi-skates/,6,110,thin,93,,,496260,0,496260,0,1620,496260,50,unknown,Y,Y,Y
11,Luminous,luminous,https://proskatersplace.com/brand/luminous/,27,98,very thin,78,lighting wheels,90,0,0,5860,43,0,0,50,unknown,Y,Y,Y
12,Rollerblade,rollerblade,https://proskatersplace.com/brand/rollerblade/,34,95,very thin,78,rollar blade,14,138340,0,138370,1,547,138340,50,unknown,Y,Y,Y
13,Swix,swix,https://proskatersplace.com/brand/swix/,71,98,very thin,78,swix,37,2320,0,6110,21,31,2320,50,unknown,Y,Y,Y
14,Fischer,fischer,https://proskatersplace.com/brand/fischer/,60,109,thin,83,fischer,19,8610,0,29120,24,68,8610,50,unknown,Y,Y,Y
15,Undercover Wheels,undercover-wheels,https://proskatersplace.com/brand/undercover-wheels/,55,97,very thin,88,undercover wheels,4,54820,0,54910,1,392,54820,50,unknown,Y,Y,Y
16,Daehlie,daehlie,https://proskatersplace.com/brand/daehlie/,21,93,very thin,88,daehlie,27,150,0,820,8,4,150,50,unknown,Y,Y,Y
17,ENNUI,ennui,https://proskatersplace.com/brand/ennui/,40,99,very thin,78,ennui wrist guards,23,300,0,640,5,4,300,50,unknown,Y,Y,Y
18,IQON,iqon,https://proskatersplace.com/brand/iqon/,67,97,very thin,78,iqon,29,370,0,1510,6,2,370,50,unknown,Y,Y,Y
19,Powerslide,powerslide,https://proskatersplace.com/brand/powerslide/,398,105,thin,83,powerslide,4,3700,0,10190,17,26,3700,50,unknown,Y,Y,Y
20,USD,usd-skates,https://proskatersplace.com/brand/usd-skates/,15,113,thin,93,usd skates,22,0,0,2130,19,0,0,50,unknown,Y,Y,Y
21,Dream Wheels,dream-wheels,https://proskatersplace.com/brand/dream-wheels/,6,102,thin,93,dream wheels,13,54700,0,55170,4,392,54700,50,unknown,Y,Y,Y
22,Flying Eagle,flying-eagle,https://proskatersplace.com/brand/flying-eagle/,40,115,thin,83,how to fly in skate,71,1220,0,3990,14,11,1220,50,unknown,Y,Y,Y
23,Madd Gear,madd-gear,https://proskatersplace.com/brand/madd-gear/,1,70,very thin,78,,,8190,0,8190,0,55,8190,50,unknown,Y,Y,Y
24,Reign Hockey,reign-hockey,https://proskatersplace.com/brand/reign-hockey/,6,74,very thin,88,,,17530,0,17530,0,79,17530,50,unknown,Y,Y,Y
25,Reusch,reusch,https://proskatersplace.com/brand/reusch/,6,89,very thin,78,reusch,19,0,0,3200,2,0,0,50,unknown,Y,Y,Y
26,Rossignol,rossignol-ski,https://proskatersplace.com/brand/rossignol-ski/,48,119,thin,83,rossignol rossignol,89,8070,0,22860,14,87,8070,50,unknown,Y,Y,Y
27,Symetrics Brand,symetrics,https://proskatersplace.com/brand/symetrics/,33,79,very thin,78,,,10510,0,10510,0,81,10510,50,unknown,Y,Y,Y
28,Toko,toko,https://proskatersplace.com/brand/toko/,23,99,very thin,78,toko,15,0,0,6740,3,0,0,50,unknown,Y,Y,Y
29,Anarchy,anarchy-aggressive,https://proskatersplace.com/brand/anarchy-aggressive/,1,87,very thin,78,wplace anarchy,41,0,0,480,1,0,0,50,unknown,Y,Y,Y
30,Bones,bones,https://proskatersplace.com/brand/bones/,16,70,very thin,78,,,170,0,170,0,3,170,50,unknown,Y,Y,Y
31,Cats,catsbearing,https://proskatersplace.com/brand/catsbearing/,0,73,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
32,Choke,choke,https://proskatersplace.com/brand/choke/,15,75,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
33,Disroyal,disroyal,https://proskatersplace.com/brand/disroyal/,0,90,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
34,DOOP,doop,https://proskatersplace.com/brand/doop/,3,84,very thin,88,,,320,0,320,0,4,320,50,unknown,Y,Y,Y
35,Dynastar,dynastar-ski,https://proskatersplace.com/brand/dynastar-ski/,2,94,very thin,88,,,70,0,70,0,1,70,50,unknown,Y,Y,Y
36,Enuff,enuff-skateboards,https://proskatersplace.com/brand/enuff-skateboards/,57,78,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
37,Gyro,gyro,https://proskatersplace.com/brand/gyro/,7,80,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
38,K2,k2,https://proskatersplace.com/brand/k2/,0,68,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
39,Kizer,kizer,https://proskatersplace.com/brand/kizer/,39,99,very thin,88,kizer wheels,94,140,0,170,1,2,140,50,unknown,Y,Y,Y
40,Lange,lange-boots,https://proskatersplace.com/brand/lange-boots/,3,92,very thin,88,ski lange,52,1310,0,1350,1,12,1310,50,unknown,Y,Y,Y
41,Matter,matter,https://proskatersplace.com/brand/matter/,6,74,very thin,88,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
42,Mindless,mindless,https://proskatersplace.com/brand/mindless/,13,84,very thin,88,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
43,MPC,mpc,https://proskatersplace.com/brand/mpc/,3,80,very thin,88,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
44,MYFIT,myfit,https://proskatersplace.com/brand/myfit/,34,96,very thin,88,myfit liners,18,360,0,450,1,4,360,50,unknown,Y,Y,Y
45,Optiwax,optiwax,https://proskatersplace.com/brand/optiwax/,9,77,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
46,Oysi,oysi,https://proskatersplace.com/brand/oysi/,1,76,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
47,Pills,pills-wheels,https://proskatersplace.com/brand/pills-wheels/,1,73,very thin,88,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
48,PlayLife,playlife,https://proskatersplace.com/brand/playlife/,16,98,very thin,88,playlife,5,110,0,320,1,1,110,50,unknown,Y,Y,Y
49,ProSkaters,proskaters,https://proskatersplace.com/brand/proskaters/,6,77,very thin,78,,,250,0,250,0,2,250,50,unknown,Y,Y,Y
50,Revision,revision-hockey,https://proskatersplace.com/brand/revision-hockey/,1,73,very thin,88,revision hockey wheels,28,0,0,40,1,0,0,50,unknown,Y,Y,Y
51,Rottefella,rottefella,https://proskatersplace.com/brand/rottefella/,1,75,very thin,78,,,190,0,190,0,3,190,50,unknown,Y,Y,Y
52,SHRED,shred,https://proskatersplace.com/brand/shred/,7,98,very thin,88,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
53,SIDAS,sidas,https://proskatersplace.com/brand/sidas/,5,95,very thin,88,sidas,20,0,0,480,1,0,0,50,unknown,Y,Y,Y
54,Slamm,slamm-scooters,https://proskatersplace.com/brand/slamm-scooters/,14,78,very thin,88,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
55,Snow White,snow-white,https://proskatersplace.com/brand/snow-white/,1,75,very thin,88,,,4270,0,4270,0,45,4270,50,unknown,Y,Y,Y
56,Sonic,sonic,https://proskatersplace.com/brand/sonic/,22,81,very thin,78,,,270,0,270,0,3,270,50,unknown,Y,Y,Y
57,Stanley,stanley,https://proskatersplace.com/brand/stanley/,9,66,very thin,78,,,40,0,40,0,1,40,50,unknown,Y,Y,Y
58,Sweet,sweet-protection,https://proskatersplace.com/brand/sweet-protection/,5,80,very thin,78,,,200,0,200,0,2,200,50,unknown,Y,Y,Y
59,Swings,swings,https://proskatersplace.com/brand/swings/,4,89,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
60,Transformer,transformer-ice-blades,https://proskatersplace.com/brand/transformer-ice-blades/,6,80,very thin,78,,,180,0,180,0,2,180,50,unknown,Y,Y,Y
61,Volten,volten,https://proskatersplace.com/brand/volten/,3,88,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
62,WICKED,wicked,https://proskatersplace.com/brand/wicked/,27,91,very thin,78,,,40,0,40,0,1,40,50,unknown,Y,Y,Y
63,Yoko,yoko,https://proskatersplace.com/brand/yoko/,47,68,very thin,78,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
64,Adapt Brand,adapt,https://proskatersplace.com/brand/adapt/,6,108,thin,93,adapt skates,3,10690,0,10780,1,83,10690,50,unknown,Y,Y,Y
65,Endless,endless-blading,https://proskatersplace.com/brand/endless-blading/,77,122,thin,83,endless blading,7,450,0,770,3,3,450,50,unknown,Y,Y,Y
66,Summit Skiboards,summit-skiboards,https://proskatersplace.com/brand/summit-skiboards/,19,118,thin,93,summit skiboards,4,1090,0,1470,4,5,1090,50,unknown,Y,Y,Y
67,Epic,epic-grindshoes,https://proskatersplace.com/brand/epic-grindshoes/,7,113,thin,83,grindshoes,16,3920,0,4120,2,11,3920,50,unknown,Y,Y,Y
68,Gawds,gawds,https://proskatersplace.com/brand/gawds/,7,114,thin,93,gawds,35,320,0,460,1,1,320,50,unknown,Y,Y,Y
69,Kastle,kastle,https://proskatersplace.com/brand/kastle/,0,253,thin,83,,,0,0,0,0,0,0,50,unknown,Y,Y,Y
70,Mini Logo,mini-logo,https://proskatersplace.com/brand/mini-logo/,2,112,thin,83,mini logo logo,54,340,0,1360,2,4,340,50,unknown,Y,Y,Y
71,Rekd,rekd,https://proskatersplace.com/brand/rekd/,5,109,thin,83,rekd,5,0,0,70,1,0,0,50,unknown,Y,Y,Y
72,TWINCAM,twincam,https://proskatersplace.com/brand/twincam/,9,103,thin,93,ilq 9 bearings,12,0,0,120,2,0,0,50,unknown,Y,Y,Y
73,Xsjado,xsjado,https://proskatersplace.com/brand/xsjado/,0,100,thin,93,,,260,0,260,0,2,260,50,unknown,Y,Y,Y
