,keyword,sv,cpc,is_restricted,search_intent_list,kd,ppcd,last_updated_at
0,roller skates,9900,0.52,False,[],0.0,94.0,2025-05-21 00:48:49.500646+00:00
1,roller skates near me,5400,1.09,False,[],0.0,21.0,
2,inline skates,3600,0.42,False,"['commercial', 'transactional']",55.46936798095703,81.0,
3,toronto roller skating,2900,1.31,False,[],13.0,9.0,2025-11-14 03:12:33.091569+00:00
4,pro skates,2400,0.84,False,[],10.801349639892578,17.0,
5,childrens roller skates,1900,0.48,False,[],42.077850341796875,100.0,
6,skate store toronto,880,0.36,False,[],14.0,75.0,2025-11-14 03:12:33.059162+00:00
7,pro skate place,480,0.0,False,[],5.191381454467773,5.0,
8,proskatersplace,480,0.0,False,[],3.223125457763672,5.0,
9,roller skates for women,480,0.42,False,[],0.0,100.0,
10,inline skates canada,390,0.45,False,[],31.269962310791016,99.0,
11,online skate shop canada,390,0.49,False,[],6.676084995269775,93.0,
12,inline roller skates,320,0.3,False,[],55.46936798095703,98.0,
13,mens roller skates,260,0.43,False,[],38.96000289916992,100.0,
14,quad roller skates,110,0.32,False,[],42.314022064208984,71.0,
15,best inline roller skates,90,0.65,False,[],40.87485885620117,100.0,
16,buy roller skates,90,0.7,False,[],55.62820816040039,100.0,
17,inline skate shop,90,0.4,False,[],35.22891616821289,60.0,
18,pink roller skates,90,0.33,False,[],16.741281509399414,82.0,
19,best roller skates,70,0.0,False,[],50.8157958984375,93.0,
20,learn to roller skate,70,0.94,False,[],23.38846206665039,15.0,
21,buy inline skates,50,0.52,False,[],55.46936798095703,100.0,2023-09-09 09:41:54.652407+00:00
22,professional roller skates,50,0.0,False,[],43.741912841796875,81.0,
23,roller skates price,50,0.35,False,[],58.29597473144531,76.0,
24,roller skates for adults,40,0.48,False,[],0.0,100.0,
25,speed roller skates,40,0.0,False,[],24.54554557800293,67.0,
26,toronto roller skates,20,0.0,False,[],14.0,64.0,2025-11-14 03:12:33.080780+00:00
27,inline skates pricing,0,0.0,False,[],26.0,0.0,2025-11-14 03:10:17.924992+00:00
28,pro skaters place,0,0.0,False,[],4.965524196624756,4.0,
29,roller skates toronto,0,0.0,False,[],15.0,15.0,2025-11-14 03:12:33.069685+00:00
30,roller skating toronto,0,0.0,False,[],1.8737998008728027,23.0,
