Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
inline skate wheels,2,2,1300,22,0.32,https://proskatersplace.com/products/inline-skating/inline-skate-wheels/,171,4.86,54.00,1,4560000,"[52,68,52,52,52,68,68,84,84,68,52,52]",2026-02-03,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
roller skate,5,5,12100,61,0.38,https://proskatersplace.com/how-much-does-roller-skating-cost/,145,4.12,55.00,0.49,67500000,"[44,66,44,81,36,54,36,44,54,36,36,66]",2026-02-22,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Things to know
off road roller skates,1,1,480,2,0.62,https://proskatersplace.com/products/inline-skating/off-road-skates/,119,3.38,73.00,0.96,8290000,"[66,81,66,81,81,66,100,66,81,54,15,44]",2026-01-08,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
proskatersplace,1,1,140,42,0.00,https://proskatersplace.com/,112,3.18,0.00,0.11,1200000,"[28,23,23,18,28,23,3,23,18,35,18,23]",2026-01-05,"Knowledge panel, Sitelinks, Video, Image, Related searches","navigational, transactional",Organic
rollerskating,1,1,9900,68,0.38,https://proskatersplace.com/how-much-does-roller-skating-cost/,108,3.07,41.00,0.49,36700000,"[29,29,44,36,29,29,44,54,29,19,19,44]",2026-02-22,"Local pack, Image pack, Video, Image, People also ask, Related searches, See results about, Things to know",informational,Things to know
inline skates vs rollerblades,1,1,1600,23,0.12,https://proskatersplace.com/inline-skates-vs-rollerblades/,97,2.76,11.00,0.38,1280000,"[68,68,52,84,84,68,100,84,52,68,84,84]",2026-01-30,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
proskaters place,1,1,110,36,0.00,https://proskatersplace.com/,88,2.5,0.00,0.11,1290000,"[19,34,80,26,80,15,42,26,26,80,19,65]",2026-01-04,"Knowledge panel, Sitelinks, Video, Image, Related searches","informational, navigational",Organic
pro skaters place,1,1,90,29,0.00,https://proskatersplace.com/,72,2.04,0.00,0.3,141000000,"[28,0,15,0,18,15,11,15,5,11,8,35]",2026-02-05,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
inline roller skates wheels,2,2,480,20,0.32,https://proskatersplace.com/products/inline-skating/inline-skate-wheels/,63,1.79,20.00,1,8620000,"[67,0,100,100,100,100,0,0,0,0,0,0]",2026-01-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
pro skate place,1,1,70,43,0.00,https://proskatersplace.com/,56,1.59,0.00,0.11,54400000,"[52,64,52,52,5,52,0,64,0,17,52,82]",2025-12-29,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
proskating,1,1,210,45,2.46,https://proskatersplace.com/,52,1.48,127.00,0.01,163000,"[1,1,1,1,1,1,1,1,1,1,100,100]",2026-01-12,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, Related searches","commercial, informational",Organic
quad skates,5,5,4400,63,0.44,https://proskatersplace.com/how-much-does-roller-skating-cost/,52,1.48,22.00,0.6,8660000,"[23,35,29,35,23,35,54,54,81,44,100,81]",2026-02-22,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Things to know
pro roller skates,2,2,390,57,0.39,https://proskatersplace.com/,51,1.45,19.00,1,12000000,"[100,67,54,100,29,54,36,23,15,15,19,36]",2026-01-28,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
best roller boots,1,1,1000,17,0.41,https://proskatersplace.com/what-to-wear-when-rollerskating/,41,1.16,16.00,1,50700000,"[54,7,66,66,66,54,41,4,24,36,24,41]",2026-02-06,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,People also ask
best rollerblades,3,3,480,22,0.42,https://proskatersplace.com/,39,1.11,16.00,1,23500000,"[24,16,16,20,16,20,16,13,16,13,20,16]",2026-01-23,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
best inline skates brands,1,1,260,13,0.44,https://proskatersplace.com/7-best-inline-skate-brands/,34,0.96,14.00,1,3720000,"[82,53,66,66,66,35,53,53,53,43,53,82]",2026-02-02,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
